PassengerId;Survived;Pclass;Name;Sex;Age;SibSp;Parch;Ticket;Fare;Cabin;Embarked
11;1;3;Sandstrom, Miss. Marguerite Rut;female;4.0;1;1;PP 9549;16.7;G6;S
44;1;2;Laroche, Miss. Simonne Marie Anne Andree;female;3.0;1;2;SC/Paris 2123;41.5792;;C
59;1;2;West, Miss. Constance Mirium;female;5.0;1;2;C.A. 34651;27.75;;S
173;1;3;Johnson, Miss. Eleanor Ileen;female;1.0;1;1;347742;11.1333;;S
185;1;3;Kink-Heilmann, Miss. Luise Gretchen;female;4.0;0;2;315153;22.025;;S
234;1;3;Asplund, Miss. Lillian Gertrud;female;5.0;4;2;347077;31.3875;;S
238;1;2;"Collyer, Miss. Marjorie ""Lottie""";female;8.0;0;2;C.A. 31921;26.25;;S
382;1;3;"Nakid, Miss. Maria (""Mary"")";female;1.0;0;2;2653;15.7417;;C
449;1;3;Baclini, Miss. Marie Catherine;female;5.0;2;1;2666;19.2583;;C
470;1;3;Baclini, Miss. Helene Barbara;female;0.75;2;1;2666;19.2583;;C
480;1;3;Hirvonen, Miss. Hildur E;female;2.0;0;1;3101298;12.2875;;S
531;1;2;Quick, Miss. Phyllis May;female;2.0;1;1;26360;26.0;;S
536;1;2;Hart, Miss. Eva Miriam;female;7.0;0;2;F.C.C. 13529;26.25;;S
619;1;2;Becker, Miss. Marion Louise;female;4.0;2;1;230136;39.0;F4;S
645;1;3;Baclini, Miss. Eugenie;female;0.75;2;1;2666;19.2583;;C
692;1;3;Karun, Miss. Manca;female;4.0;0;1;349256;13.4167;;C
721;1;2;"Harper, Miss. Annie Jessie ""Nina""";female;6.0;0;1;248727;33.0;;S
751;1;2;Wells, Miss. Joan;female;4.0;1;1;29103;23.0;;S
778;1;3;Emanuel, Miss. Virginia Ethel;female;5.0;0;0;364516;12.475;;S
