Candidato,Partido,Votos,Cidade
Adriane Lopes,PP,140913,Campo Grande
Rose Modesto,União,131525,Campo Grande
Beto Pereira,PSDB,115516,Campo Grande
Camila Jara,PT,41966,Campo Grande
Beto Figueiró,Novo,10885,Campo Grande
Luso De Queiroz,PSOL,3108,Campo Grande
Ubirajara Martins,DC,1067,Campo Grande
Marçal Filho,PSDB,60418,Dourados
Alan Guedes,PP,34027,Dourados
Tiago Botelho,PT,17845,Dourados
Bela Barros,PDT,5476,Dourados
Racib Harb,NOVO,2455,Dourados
Beto Teles,REDE,377,Dourados
Valderi Garcia,PCO,117,Dourados
Dr Cassiano Maia,PSDB,38076,Três Lagoas
Dr Ruy Costa,DC,16027,Três Lagoas
Professor Vitor,PSTU,1392,Três Lagoas
Dr. gabriel,PSB,28394,Corumbá
Luiz antonio pardal,PP,10659,Corumbá
André campos,PL,5944,Corumbá
Delcídio amaral,PRD,5043,Corumbá
Eduardo campos,PSDB,26473,Ponta Porã
Pompilio júnior,PL,15195,Ponta Porã
Carlos bernardo,PDT,8168,Ponta Porã
Álvaro soares,PODE,1314,Ponta Porã
